Recipient.Organization,deliverychannels
Enfants du Monde - Droits de l'Homme,NGOs and CSOs
REST - Relief Society of Tigray,NGOs and CSOs
Consortium for Assistance to Refugees and the Displaced in Indonesia,NGOs and CSOs
ArtemissziÛ Foundation,NGOs and CSOs
Hungarian Charity Organization of the Order of Malta,NGOs and CSOs
Hungarian Hydrology Association,NGOs and CSOs
Support Agency for Rural & Human Association's Development,NGOs and CSOs
Al-Bir Wa Al-Ehsan Association in Ras AlAin (Al-Bir Wa Al-Ehsan in Ras AlAin),Other
Alinshat Area  Association (Inshaat),NGOs and CSOs
Circassian Charity Association,NGOs and CSOs
Greek Orthodox Patriarchate of Antioch and all of the East,Other
Syria Trust for Development,NGOs and CSOs
Middle East Childrenís Institute,NGOs and CSOs
KFW Development,Public Sector
Solidar Suisse,NGOs and CSOs
CARE Ecuador,NGOs and CSOs
BUKKEHAVE,Other
La Strada International / Open Gate,NGOs and CSOs
Macedonian Young Lawyers Association (MYLA),NGOs and CSOs
NOSTOS - Organisation for Social Integration,NGOs and CSOs
Solidarity Now,NGOs and CSOs
Macedonian Red Cross,RCRC
Caritas Hellas - Caritas Greece,NGOs and CSOs
KSPM-ERP Integration Centre for Migrant Workers - Ecumenical Refugee Program,NGOs and CSOs
Nun Kultura,NGOs and CSOs
Macedonia Centre for International Cooperation,NGOs and CSOs
Render Effective Aid to CHildren,Other
Development Alternatives Inc.,Other
Taiwan Red Cross Society,RCRC
LEGIS,NGOs and CSOs
ARSIS Association for the Social Support of Youth,NGOs and CSOs
Caritas Athens,NGOs and CSOs
Norwegian Society for Sea Rescue,NGOs and CSOs
Irish Red Cross Society,RCRC
HumaniTerra International,NGOs and CSOs
Heevie Kurdistan Development,NGOs and CSOs
United Foundation for Relief and Abiding Development,NGOs and CSOs
KAALO Relief and Development Organisation,NGOs and CSOs
GRET,NGOs and CSOs
Al Afia Fund Charity,NGOs and CSOs
Al-Birr Association for Charity and Social Services,NGOs and CSOs
Al Taalouf Charity Association,Other
Business Incubation Association in Tripoli,NGOs and CSOs
Dolphin for Development,Other
Women's Affairs Center,NGOs and CSOs
Swedish and Norwegian Ecumenical Accompaniment Programme in Palestine and Israel,NGOs and CSOs
Cooperazione per lo Sviluppo dei Paesi Emergenti - COSPE,NGOs and CSOs
Istituto Oikos onlus,NGOs and CSOs
Centro Sviluppo Terzo Mondo Onlus,NGOs and CSOs
Associazione SolidarietÌ† e lo Sviluppo - Confederazione Italiana Agricoltori,NGOs and CSOs
Italian Agency for Development Cooperation,Public Sector
Organisation of the Islamic Conference,Other multi
Argentina,Public Sector
International Humanitarian Relief,NGOs and CSOs
Centro Internazionale per l'Infanzia e la Famiglia,NGOs and CSOs
Ente Nazionale Giuseppini del Murialdo,NGOs and CSOs
Instituto per la Cooperazione Universitaria Onlus,NGOs and CSOs
Associazione Italiana per la SolidarietÌ† tra I Popoli,NGOs and CSOs
Media Action Intl.,NGOs and CSOs
Voluntary Organisations in Cooperation in Emergencies,NGOs and CSOs
Plan Niger,NGOs and CSOs
Tanganyika Christian Refugee Service,NGOs and CSOs
Tanzania Red Cross National Society,RCRC
Water Missions International,NGOs and CSOs
Smile Again Africa Development Organization,NGOs and CSOs
Development and Inter-Church Aid Commission,NGOs and CSOs
ASSIST,Other
Hilfswerk Liechtenstein,NGOs and CSOs
Liechtenstein Red Cross,RCRC
Kreuz des S¸dens,NGOs and CSOs
Lazarus-Hilfswerk e.V.,NGOs and CSOs
AiBi Associazione Amici dei Bambini,NGOs and CSOs
Association Arbre de Vie,Other
Caritas Centrafricaine,NGOs and CSOs
Main dans la Main pour l'Assistance Humanitaire et le DÈveloppement Durable,NGOs and CSOs
Italy,Public Sector
Habitat for Humanity Fiji,NGOs and CSOs
Centre for Humanitarian Dialogue,Other
Syria Relief,NGOs and CSOs
Cultivating New Frontiers in Agriculture,NGOs and CSOs
Life Makers Meeting Place Organization,NGOs and CSOs
Al-Atta Institution for Social Development and Charity,NGOs and CSOs
Kofi Annan Foundation,NGOs and CSOs
Fonds díIntervention pour le DÈveloppement,NGOs and CSOs
Asia Humanitarian Organization,NGOs and CSOs
Comprehensive Health and Education Forum International,NGOs and CSOs
Foundation for Rural Development,NGOs and CSOs
Frontier Organization for Reforms and Transformation,NGOs and CSOs
Humanitarian Organization for Poverty Elimination,NGOs and CSOs
Kamore Development Welfare Organization,NGOs and CSOs
Pakhtunkhwa Rural Support Program,NGOs and CSOs
LASOONA - Society for Human and Natural Resource Development,NGOs and CSOs
Philanthrope,NGOs and CSOs
Poverty Alliance Welfare Trust,NGOs and CSOs
Sanjh Preet Organization,NGOs and CSOs
Society for Appraisal and Women Empowerment in Rural Areas,NGOs and CSOs
Women Concerns Organization,NGOs and CSOs
RABT Development Organization,NGOs and CSOs
Islamic Charity Association - Aoun for relief and Development,Other
Namibia,Public Sector
Syria Relief and Development,NGOs and CSOs
Canadian Food Grains Bank,NGOs and CSOs
Humanitarian Outcomes,NGOs and CSOs
Kazakhstan,Public Sector
Groupe de Secours Catastrophes Francais,NGOs and CSOs
Malagasy Red Cross Society,RCRC
Icelandic Red Cross,RCRC
ACT Alliance / Icelandic Church Aid,NGOs and CSOs
Icelandic Crisis Response Unit,Public Sector
International Potato Center,NGOs and CSOs
Norwegian Refugee Council/CARDI,NGOs and CSOs
Associazione Centro Aiuti Volontari Cooperazione Sviluppo Terzo Mondo,NGOs and CSOs
TEAR Fund New Zealand,NGOs and CSOs
ITF,NGOs and CSOs
Shelter Centre,NGOs and CSOs
Secours Populaire Francais,NGOs and CSOs
Eaux de Marseille (SociÈtÈ des),Other
Bahamas Red Cross Society,RCRC
Jamaica Red Cross,RCRC
CARE Haiti,NGOs and CSOs
Action d'Urgence International,NGOs and CSOs
Partners Turkey,Other
NGO Coordination Committee for Iraq,NGOs and CSOs
The Coalition Of Humanitarian Relief,NGOs and CSOs
Div. E+CIS,Other
Vivamos Mejor,NGOs and CSOs
NGO Ninez y Vida,NGOs and CSOs
Reseau National des droits humains,NGOs and CSOs
Terra Nuova,NGOs and CSOs
Green Cross,NGOs and CSOs
DIOTIMA Centre of research on Women's Issues,NGOs and CSOs
HSA Humanitarian Support Agency,NGOs and CSOs
Sri Lanka Red Cross Society,RCRC
J/P Haitian Relief Organization,NGOs and CSOs
Team Rubicon,NGOs and CSOs
Plan Zimbabwe,NGOs and CSOs
Libraries without Borders,NGOs and CSOs
Network for Children's Rights,NGOs and CSOs
Translators without Borders,NGOs and CSOs
The Engineering Association for Development and Environment,NGOs and CSOs
Afghan Health & Development Services,NGOs and CSOs
Coordination of Afghan Relief,NGOs and CSOs
Afghan Planning Agency,NGOs and CSOs
Youth Health & Development Organization,NGOs and CSOs
Organisation for Mine Clearance and Afghan Rehabilitation / Mine Detection Dog Centre,NGOs and CSOs
Costa Rican Red Cross,RCRC
Red Cross Society of Panama,RCRC
Engineers Without Borders,NGOs and CSOs
EliseCare,NGOs and CSOs
Stichting ZOA,NGOs and CSOs
Florida International University,NGOs and CSOs
Doctors Aid Medical Activities,NGOs and CSOs
Mercy Hands for Humanitarian Aid,NGOs and CSOs
Representative of Nineveh Voluntary for Internally Displaced Persons Organization,NGOs and CSOs
Barzani Charity Foundation,NGOs and CSOs
Yasra Food Company,Other
City Center Co.,Other
Kuwaiti Yemeni Relief,NGOs and CSOs
The Haven Community Foundation,NGOs and CSOs
Bahamas,Public Sector
Dutch Relief Alliance,NGOs and CSOs
Medilor,NGOs and CSOs
URBAN REFUGEES,NGOs and CSOs
John Hopkins University,NGOs and CSOs
Community Initiative for Sustainable Development Agency,Other
American Bar Association,Other
Voice of America,NGOs and CSOs
Portuguese Red Cross,RCRC
Pact Inc.,Other
Development Associates Inc.,NGOs and CSOs
Assisting Marsh Arabs and Refugees,NGOs and CSOs
Lanka Jatika Sarvodaya Shramadana Sangamaya,NGOs and CSOs
Vanuatu Red Cross Society,RCRC
Center for Education and Development,NGOs and CSOs
Nutrition Action Zimbabwe,NGOs and CSOs
Organisation of Rural Associations for Progress,NGOs and CSOs
Darfur Development and Reconstruction Agency (DDRA),NGOs and CSOs
Nada Elazhar for Disaster Prevention and Sustainable Development,NGOs and CSOs
Peoples' Organization for Development and Rehabilitation,NGOs and CSOs
United Nations Department of Peace-Keeping Operations,UN Multi
Zulfa Development and Peace Organization,NGOs and CSOs
Cooperation for Development Organization,NGOs and CSOs
Fondation Humanitaire Internationale AICM Ukraine,NGOs and CSOs
Auranitis Life Line for development and training,NGOs and CSOs
Skills Active Forward,NGOs and CSOs
Ratana Metta Organization,NGOs and CSOs
Iraqi Al-Mortaqa Foundation for Human Development,NGOs and CSOs
World Vision Niger,NGOs and CSOs
Ministry of Environment and University of Zurich,Other
Action Contre la PauvretÈ (ACP),NGOs and CSOs
Sorouh for Sustainable Development Foundation,NGOs and CSOs
Iraq Health Access Organization,NGOs and CSOs
PremiËre Urgence Internationale,NGOs and CSOs
Digicel Foundation,NGOs and CSOs
Association RÈg. d'Appro. en MÈdicaments Essentiels,Other
BRASCRI,NGOs and CSOs
Development and Ability Organization,NGOs and CSOs
Safadi Foundation,NGOs and CSOs
UTOPIA Organization,NGOs and CSOs
Management and Resources for Community Health,Other
Physicians Across Continents,NGOs and CSOs
World Vision Chad,NGOs and CSOs
World Vision Zimbabwe,NGOs and CSOs
Haitian Health Foundation,NGOs and CSOs
Khadija Foundation for Development,Other
National Foundation for Development and Humanitarian Response,NGOs and CSOs
Yemeni Development Network for NGOs,NGOs and CSOs
Action Solidaire aux VulnÈrables,Other
Actions ConcrËte pour la Protection de l'Enfance,NGOs and CSOs
Association des jeunes pour le dÈveloppement communautaire,NGOs and CSOs
CorporaciÛn Infancia y Desarrollo (CID),NGOs and CSOs
AVREO,NGOs and CSOs
Centre de DÈveloppement IntÈgral pour líEnfant Rural,NGOs and CSOs
Intergovernmental Authority on Development,Other multi
Collectif Alpha Ujuvi (CAU),NGOs and CSOs
Croix Rouge RDC,RCRC
Federation Handicap International. Direction Aide Humanitaire,NGOs and CSOs
Groupe La Colombe,NGOs and CSOs
Humanitaires sans FrontiËres,Other
Life and Peace Institute,NGOs and CSOs
Rebuild Hope for Africa,NGOs and CSOs
Roles for Social Change Association,NGOs and CSOs
CTM,NGOs and CSOs
Community World Service Asia,NGOs and CSOs
Kuwait Foundation for the Advancement of Science,NGOs and CSOs
Republic of Korea National Red Cross,RCRC
Korean Sharing Movement,NGOs and CSOs
"Korean Reconciliation Committee, Archdiocese of Korea",Other
World Vision Korea,NGOs and CSOs
South-North Sharing Campaign for Peace and Reunification,NGOs and CSOs
United Iraqi Medical Society for Relief & Development,NGOs and CSOs
UNRWA Spanish Committee,UN Multi
Eugene Bell Foundation,NGOs and CSOs
JTS-Korea,Other
Enjaz foundation for development,NGOs and CSOs
Syria Civil Defence,NGOs and CSOs
Comite Catholique contre la faim,NGOs and CSOs
Order of Malta Lebanon,NGOs and CSOs
ONG Rescate International,NGOs and CSOs
ICDP - International Child Development Programme,NGOs and CSOs
ONUA - HRD,UN Multi
Trauma Care Foundation,NGOs and CSOs
PTM - Paz y Tercer Mundo,NGOs and CSOs
UN Agencies | NGOs | Red Cross Organizations,Other
Farmers Integrated Development Association,NGOs and CSOs
United Way of Miami-Dade,UN Multi
Swiss Solidarity,NGOs and CSOs
Japan America Society of Southern California,NGOs and CSOs
Christian Relief Network,NGOs and CSOs
Samenwerkende Hulporganisaties,NGOs and CSOs
Danish Assistance to the Self-Reliance Strategy,Public Sector
Foundation Signs,NGOs and CSOs
United Nations Mission of Support in East Timor,UN Multi
IUED,NGOs and CSOs
African Revival Ministries,NGOs and CSOs
International Alert,NGOs and CSOs
"Ayuda, Intercambio y Desarrollo",NGOs and CSOs
International Peace Research Institute,NGOs and CSOs
International Youth Council - Yemen,NGOs and CSOs
Stability Pact,Public Sector
Solomon Islands,Public Sector
World Vision New Zealand,NGOs and CSOs
Tromso Center for Mine Damages,Other
Hellenic Rescue Team,NGOs and CSOs
Diplomat Freight Services,Other
Man in Need,Other
Freightco,Other
Palestinian Human Rights Monitoring Group,NGOs and CSOs
Centre for International Political Studies,NGOs and CSOs
Myittar Resource Foundation,NGOs and CSOs
Rotary International,NGOs and CSOs
Norsk Luthersk Misjonssamband,NGOs and CSOs
Direct Focus Community Aid,NGOs and CSOs
KAFA Enough Violence and Exploitation,NGOs and CSOs
Health Care and Relief Foundation,Other
Nigeria Humanitarian Fund,UN Multi
Gambia,Public Sector
Maldives,Public Sector
Comoros,Public Sector
Benin,Public Sector
National Relief Committee,NGOs and CSOs
Center for Humanitarian Services,NGOs and CSOs
Action for Relief and Development,NGOs and CSOs
SomaliAid,NGOs and CSOs
Somali Organic Agriculture Development Organization,NGOs and CSOs
Save Somali Women and Children,NGOs and CSOs
Madad Organization,NGOs and CSOs
Japan Self Defense Forces,Public Sector
Special Representative of the Secretary-General,UN Multi
Mahavir Overseas,Other
American University of Nigeria,NGOs and CSOs
ArmandoAid,NGOs and CSOs
Emergency Response Centre International,NGOs and CSOs
Faros Organizaton,NGOs and CSOs
Filoxenia International,NGOs and CSOs
NGO Atina - Citizens Association for Combating Trafficking in Human Beings and all Forms of Gender-based Violence,NGOs and CSOs
Initiative for Development and Cooperation,NGOs and CSOs
LOVASOA,NGOs and CSOs
Ev. Zentralstelle e.V.,Other
Sweden,Public Sector
Sentinelles,Other
International Children's Action Network,NGOs and CSOs
United Nations Foundation,UN Multi
African Disability Association,NGOs and CSOs
Raf-Thani Foundation,NGOs and CSOs
Agricultural Development Organisation,NGOs and CSOs
Golweyne Relief and Rehabilitation,NGOs and CSOs
Social Life and Agricultural Development Organisation,NGOs and CSOs
Somali Transformation Group,NGOs and CSOs
Salama Medical Agency,NGOs and CSOs
Aid Vision,NGOs and CSOs
Bay Regional Education Committee,NGOs and CSOs
Integrationsrat,Public Sector
Ihsan for Relief and Development,NGOs and CSOs
Alyateem Development Foundation,NGOs and CSOs
Yemen Higher Relief Committee,Public Sector
Yemen National Committee for Human Rights,Other
Al Khair Relief Development Foundation,NGOs and CSOs
International Aid Network,NGOs and CSOs
Nurture Project International,NGOs and CSOs
Rescue Team International,NGOs and CSOs
Regional Developmetn Protection Programme - Horn of Africa,Other multi
Schˆnst‰tter Marienschwestern,NGOs and CSOs
Ruedi L¸thy Foundation,NGOs and CSOs
Association du Centre de SantÈ de Musongati,NGOs and CSOs
Saudi Arabia (Kingdom of),Public Sector
Caritas Peru,NGOs and CSOs
Chavin Organization for the Care of Children,NGOs and CSOs
Portugal,Public Sector
Action Africa Help International,NGOs and CSOs
Success Initiatives Inc.,Other
Norwegian Pentecostal Movement,NGOs and CSOs
Amica hilft in Bosnien e.V.,NGOs and CSOs
Samusocial International,NGOs and CSOs
Action Against Hunger,NGOs and CSOs
SolidaritÈ laique,Other
Okedongmu Children in Korea,NGOs and CSOs
Korean Welfare Foundation,NGOs and CSOs
Afro-Canadian Evangelical Mission,NGOs and CSOs
Tawa Organization for Civil Development,NGOs and CSOs
Korean Church Federation of Support for North Korea,NGOs and CSOs
One Buddhism,NGOs and CSOs
One Korea Buddhist Movement,NGOs and CSOs
Korea Food for the Hungry International,NGOs and CSOs
International Corn Foundation,NGOs and CSOs
Benevolence Coalition For Humanitarian Relief,NGOs and CSOs
Yemeni Association for relief and development,Other
Community Aid for Relief and Development,NGOs and CSOs
Al-Badyah Charitable Foundation,NGOs and CSOs
National Coalition of NGOs for Inter-Korea Agricultural Development and Cooperation,NGOs and CSOs
Help Restore Youth South Sudan,NGOs and CSOs
Community Aid for Fisheries and Agriculture Development,NGOs and CSOs
Children Aid South Sudan,NGOs and CSOs
Africa Development Aid,NGOs and CSOs
Centre for Emergency and Development Support,NGOs and CSOs
Unitad Nacional para la Gestion del Riesgo de Desastres,Public Sector
The General Assembly of Presbyterian Church in Korea,NGOs and CSOs
Association of South-North Kang-Won Province Cooperation,Other
Medical Aids for Children of DPRK,Other
