Recipient.Organization,recipientcodename
ACT Alliance / Icelandic Church Aid,NGOs
Icelandic Crisis Response Unit,DAC governments
International Potato Center,academia/think/research
Norwegian Refugee Council/CARDI,NGOs
Associazione Centro Aiuti Volontari Cooperazione Sviluppo Terzo Mondo,NGOs
TEAR Fund New Zealand,NGOs
ITF,NGOs
Shelter Centre,NGOs
Secours Populaire Francais,NGOs
Eaux de Marseille (SociÈtÈ des),other
Bahamas Red Cross Society,red cross
Jamaica Red Cross,red cross
CARE Haiti,NGOs
Action d'Urgence International,NGOs
Partners Turkey,Undefined
NGO Coordination Committee for Iraq,NGOs
The Coalition Of Humanitarian Relief,NGOs
Div. E+CIS,other
Vivamos Mejor,NGOs
NGO Ninez y Vida,NGOs
Reseau National des droits humains,NGOs
Terra Nuova,NGOs
Green Cross,NGOs
DIOTIMA Centre of research on Women's Issues,NGOs
HSA Humanitarian Support Agency,NGOs
Sri Lanka Red Cross Society,red cross
J/P Haitian Relief Organization,NGOs
Team Rubicon,NGOs
Plan Zimbabwe,NGOs
Libraries without Borders,NGOs
Network for Children's Rights,NGOs
Translators without Borders,NGOs
The Engineering Association for Development and Environment,NGOs
Afghan Health & Development Services,NGOs
Coordination of Afghan Relief,NGOs
Afghan Planning Agency,NGOs
Youth Health & Development Organization,NGOs
Organisation for Mine Clearance and Afghan Rehabilitation / Mine Detection Dog Centre,NGOs
Costa Rican Red Cross,red cross
Red Cross Society of Panama,red cross
Engineers Without Borders,NGOs
EliseCare,NGOs
Stichting ZOA,NGOs
Florida International University,academia/think/research
Doctors Aid Medical Activities,NGOs
Mercy Hands for Humanitarian Aid,NGOs
Representative of Nineveh Voluntary for Internally Displaced Persons Organization,NGOs
Barzani Charity Foundation,NGOs
Yasra Food Company,private sector corporations
City Center Co.,private sector corporations
Kuwaiti Yemeni Relief,NGOs
The Haven Community Foundation,NGOs
Bahamas,National government
Dutch Relief Alliance,NGOs
Medilor,NGOs
URBAN REFUGEES,NGOs
John Hopkins University,academia/think/research
Community Initiative for Sustainable Development Agency,Undefined
American Bar Association,private sector corporations
Voice of America,NGOs
Portuguese Red Cross,red cross
Pact Inc.,private sector corporations
Development Associates Inc.,NGOS
Assisting Marsh Arabs and Refugees,NGOs
Lanka Jatika Sarvodaya Shramadana Sangamaya,NGOs
Vanuatu Red Cross Society,red cross
Center for Education and Development,NGOs
Nutrition Action Zimbabwe,NGOs
Organisation of Rural Associations for Progress,NGOs
Darfur Development and Reconstruction Agency (DDRA),NGOs
Nada Elazhar for Disaster Prevention and Sustainable Development,NGOs
Peoples' Organization for Development and Rehabilitation,NGOs
United Nations Department of Peace-Keeping Operations,UN Multi
Zulfa Development and Peace Organization,NGOs
Cooperation for Development Organization,NGOs
Fondation Humanitaire Internationale AICM Ukraine,NGOs
Auranitis Life Line for development and training,NGOs
Skills Active Forward,NGOs
Ratana Metta Organization,NGOs
Iraqi Al-Mortaqa Foundation for Human Development,NGOs
World Vision Niger,NGOs
Ministry of Environment and University of Zurich,other
Action Contre la PauvretÈ (ACP),NGOs
Sorouh for Sustainable Development Foundation,NGOs
Iraq Health Access Organization,NGOs
PremiËre Urgence Internationale,NGOs
Digicel Foundation,foundations
Association RÈg. d'Appro. en MÈdicaments Essentiels,other
BRASCRI,NGOs
Development and Ability Organization,NGOs
Safadi Foundation,NGOs
UTOPIA Organization,NGOs
Management and Resources for Community Health,Undefined
Physicians Across Continents,NGOs
World Vision Chad,NGOs
World Vision Zimbabwe,NGOs
Haitian Health Foundation,NGOs
Khadija Foundation for Development,Undefined
National Foundation for Development and Humanitarian Response,NGOs
Yemeni Development Network for NGOs,NGOs
Action Solidaire aux VulnÈrables,Undefined
Actions ConcrËte pour la Protection de l'Enfance,NGOs
Association des jeunes pour le dÈveloppement communautaire,NGOs
CorporaciÛn Infancia y Desarrollo (CID),NGOs
AVREO,NGOs
Centre de DÈveloppement IntÈgral pour líEnfant Rural,NGOs
Intergovernmental Authority on Development,Other multi
Collectif Alpha Ujuvi (CAU),NGOs
Croix Rouge RDC,red cross
Federation Handicap International. Direction Aide Humanitaire,NGOs
Groupe La Colombe,NGOs
Humanitaires sans FrontiËres,Undefined
Life and Peace Institute,academia/think/research
Rebuild Hope for Africa,NGOs
Roles for Social Change Association,NGOs
CTM,NGOs
Community World Service Asia,NGOs
Kuwait Foundation for the Advancement of Science,foundations
Republic of Korea National Red Cross,red cross
Korean Sharing Movement,NGOs
"Korean Reconciliation Committee, Archdiocese of Korea",other
World Vision Korea,NGOs
South-North Sharing Campaign for Peace and Reunification,NGOs
United Iraqi Medical Society for Relief & Development,NGOs
UNRWA Spanish Committee,UN Multi
Eugene Bell Foundation,foundations
JTS-Korea,private sector corporations
Enjaz foundation for development,NGOs
Syria Civil Defence,NGOs
Comite Catholique contre la faim,NGOs
Order of Malta Lebanon,NGOs
ONG Rescate International,NGOs
ICDP - International Child Development Programme,NGOs
ONUA - HRD,UN Multi
Trauma Care Foundation,foundations
PTM - Paz y Tercer Mundo,NGOs
UN Agencies | NGOs | Red Cross Organizations,Undefined
Farmers Integrated Development Association,private individual/organisation
United Way of Miami-Dade,UN Multi
Swiss Solidarity,foundations
Japan America Society of Southern California,private individual/organisation
Christian Relief Network,NGOs
Samenwerkende Hulporganisaties,NGOs
Danish Assistance to the Self-Reliance Strategy,DAC governments
Foundation Signs,foundations
United Nations Mission of Support in East Timor,UN Multi
IUED,academia/think/research
African Revival Ministries,NGOs
International Alert,NGOs
"Ayuda, Intercambio y Desarrollo",NGOs
International Peace Research Institute,academia/think/research
International Youth Council - Yemen,NGOs
Stability Pact,EC
Solomon Islands,National government
World Vision New Zealand,NGOs
Tromso Center for Mine Damages,other
Hellenic Rescue Team,NGOs
Diplomat Freight Services,private sector corporations
Man in Need,other
Freightco,private sector corporations
Palestinian Human Rights Monitoring Group,NGOs
Centre for International Political Studies,academia/think/research
Myittar Resource Foundation,NGOs
Rotary International,NGOs
Norsk Luthersk Misjonssamband,NGOs
Direct Focus Community Aid,NGOs
KAFA Enough Violence and Exploitation,NGOs
Health Care and Relief Foundation,Undefined
Nigeria Humanitarian Fund,CBPF
Gambia,National government
Maldives,National government
Comoros,National government
Benin,National government
National Relief Committee,private individual/organisation
Center for Humanitarian Services,private individual/organisation
Action for Relief and Development,NGOs
SomaliAid,NGOs
Somali Organic Agriculture Development Organization,NGOs
Save Somali Women and Children,NGOs
Madad Organization,foundations
Japan Self Defense Forces,DAC governments
Special Representative of the Secretary-General,UN Multi
Mahavir Overseas,private sector corporations
American University of Nigeria,academia/think/research
ArmandoAid,NGOs
Emergency Response Centre International,NGOs
Faros Organizaton,NGOs
Filoxenia International,NGOs
NGO Atina - Citizens Association for Combating Trafficking in Human Beings and all Forms of Gender-based Violence,NGOs
Initiative for Development and Cooperation,NGOs
LOVASOA,NGOs
Ev. Zentralstelle e.V.,private sector corporations
Sweden,DAC governments
Sentinelles,other
International Children's Action Network,NGOs
United Nations Foundation,UN Multi
African Disability Association,NGOs
Raf-Thani Foundation,foundations
Agricultural Development Organisation,NGOs
Golweyne Relief and Rehabilitation,NGOs
Social Life and Agricultural Development Organisation,NGOs
Somali Transformation Group,NGOs
Salama Medical Agency,NGOs
Aid Vision,NGOs
Bay Regional Education Committee,foundations
Integrationsrat,DAC governments
Ihsan for Relief and Development,NGOs
Alyateem Development Foundation,NGOs
Yemen Higher Relief Committee,National government
Yemen National Committee for Human Rights,Undefined
Al Khair Relief Development Foundation,NGOs
International Aid Network,NGOs
Nurture Project International,NGOs
Rescue Team International,NGOs
Regional Developmetn Protection Programme - Horn of Africa,Other multi
Schˆnst‰tter Marienschwestern,NGOs
Ruedi L¸thy Foundation,NGOs
Association du Centre de SantÈ de Musongati,NGOs
Saudi Arabia (Kingdom of),National government
Caritas Peru,NGOs
Chavin Organization for the Care of Children,NGOs
Portugal,DAC governments
Action Africa Help International,NGOs
Success Initiatives Inc.,Undefined
Norwegian Pentecostal Movement,private individual/organisation
Amica hilft in Bosnien e.V.,NGOs
Samusocial International,NGOs
Action Against Hunger,NGOs
SolidaritÈ laique,Undefined
Okedongmu Children in Korea,NGOs
Korean Welfare Foundation,foundations
Afro-Canadian Evangelical Mission,NGOs
Tawa Organization for Civil Development,NGOs
Korean Church Federation of Support for North Korea,private individual/organisation
One Buddhism,NGOs
One Korea Buddhist Movement,NGOs
Korea Food for the Hungry International,NGOs
International Corn Foundation,foundations
Benevolence Coalition For Humanitarian Relief,NGOs
Yemeni Association for relief and development,Undefined
Community Aid for Relief and Development,NGOs
Al-Badyah Charitable Foundation,NGOs
National Coalition of NGOs for Inter-Korea Agricultural Development and Cooperation,NGOs
Help Restore Youth South Sudan,NGOs
Community Aid for Fisheries and Agriculture Development,NGOs
Children Aid South Sudan,NGOs
Africa Development Aid,NGOs
Centre for Emergency and Development Support,NGOs
Unitad Nacional para la Gestion del Riesgo de Desastres,National government
The General Assembly of Presbyterian Church in Korea,private individual/organisation
Association of South-North Kang-Won Province Cooperation,other
Medical Aids for Children of DPRK,other
REACH Initiative,academia/think/research
Colombia,National government
21 Century Unification Service Organization,other
Center for Diversity and National Harmony,NGOs
Abo Mousa Alashary Social Charitable Association,NGOs
National Agricultural Cooperative Federation,NGOs
NGO Development Center,NGOs
Palestinian Center for Human Rights,NGOs
Swiss Rotary Club,NGOs
SHAML - Palestinian Diaspora and Refugee Center,NGOs
African Volunteers for Relief and Development,NGOs
"Association des Volontaires pour la Recuperation des Enfants Orphelins,AbandonnÈs,DÈplacÈs et Mal",NGOs
Save Congo,NGOs
Help The Needy,NGOs
SOS Sahel Ethiopia,NGOs
University of Hawaii at Manoa,academia/think/research
"Precise Kit Promotions, Inc.",private sector corporations
Bioforce,private sector corporations
METAdrasi - Action for Migration and Development,NGOs
Start Point,NGOs
Shaqodoon Organization,NGOs
Sarvodaya Shramadana Movement,NGOs
Action Mopti,NGOs
Initiative for Rural Empowerment,NGOs
Habitat for Humanity Ethiopia,NGOs
Catholic Caritas Foundation of Nigeria,NGOs
Center for Disaster Preparedness,NGOs
Action pour le DÈveloppement du Sahel,NGOs
Syria Relief Network,NGOs
Charitable Association for Giving,Undefined
Spedition TBSG Bremen,private sector corporations
World Relief Deutschland e.V.,NGOs
Association pour la CoopÈration Technique et au DÈveloppement,NGOs
Ana Aqra Association,NGOs
Lebanese Society for Educational and Social Development,NGOs
Catholic Peace Movement,NGOs
Emergencies Unit for Ethiopia,National government
CARE Germany-Luxembourg eV,NGOs
All Girls Foundation for Development,NGOs
Violet Organization,NGOs
School of Tomorrow Ltd,private individual/organisation
Red Cross Society of Georgia,red cross
Yemen Women Union,NGOs
ICRC MoveAbility Foundation (former ICRC Special Fund for the Disabled),red cross
Almanara Humanitarian Charitable Society,Undefined
Kabkabiya Women Charitable Society,NGOs
Jabal Marra Charity Organization for Rural Development,NGOs
Relief and Mediation Corps,NGOs
"Emergency Relief, Rehabilitation and Development Agency",NGOs
Saeker Charitable Society,NGOs
South Darfur Net for HIV/AIDS Campaign,Undefined
National Humanitarian Aid Organization,NGOs
National Initiative for Development Organization,NGOs
Trust Rehabilitation and Development Organization,NGOs
Trust Fund for Human Security,UN Multi
SOS Sahel Sudan,NGOs
Caritas Austria | CARITAS,NGOs
Almasheesh Organization for Development and Creative Art,NGOs
Disaster Prevention and Preparedness Commission Ethiopia,National government
King Salman Humanitarian Aid and Relief Center,National government
FARM Africa,NGOs
Health Work Committees,NGOs
Psycho Social Counselling Center for Women,NGOs
Treatment and Rehabilitation Center for Victims of Torture,NGOs
HCS,other
Syaj Charity Organization,NGOs
